,date,announcement
32916,2010-09-30,"Western Refining Co., El Paso, Texas, is being awarded a maximum $27,314,300 fixed-price with economic price adjustment, indefinite-delivery/indefinite-quantity contract for fuel. There are no other locations of performance. Using service is Defense Logistics Agency Energy. The original proposal was Web-solicited with 13 responses. The date of performance completion is Jan. 30, 2011. The Defense Logistics Agency Energy, Fort Belvoir, Va., is the contracting activity (SP0600-10-D-0501). Guaranteed Returns*, Holbrook, N.Y., is being awarded a maximum $20,000,000 indefinite-quantity service-type contract for pharmaceutical reverse distribution program. There are no other locations of performance. Using service is Department of Defense. The original proposal was Web-solicited with six responses. The date of performance completion is Sept. 30, 2011. The Defense Logistics Agency Troop Support, Philadelphia, Pa., is the contracting activity (SPM200-07-D-5201)."
32939,2010-10-01,"Sinclair Oil Corp., Salt Lake City, Utah, is being awarded a maximum $12,644,634 fixed-price with economic price adjustment, indefinite-delivery/indefinite-quantity contract for fuel. There are no other locations of performance. Using service is Defense Logistics Agency Energy. The original proposal was Web-solicited with 13 responses. The date of performance completion is Jan. 31, 2011. The Defense Logistics Agency Energy, Fort Belvoir, Va., is the contracting activity (SP0600-10-D-0498). Oshkosh Corp., Oshkosh, Wis., is being awarded a maximum $5,681,331 firm-fixed-price contract for aircraft rescue fire fighting vehicles. There are no other locations of performance. Using service is Army. There were originally three proposals solicited with three responses. The date of performance completion is June 28, 2011. The Defense Logistics Agency Troop Support, Philadelphia, Pa., is the contracting activity (SPM500-01-D-0066-0064)."
33252,2010-11-08,"Point One, LLC, Arlington, Va., was awarded on Sept. 30 a $68,322,752 fixed-price level of effort contract for cyber analytical information technology services. Work is to be performed in Fort Meade, Md., with an estimated completion date of Sept. 29, 2015. Bids were solicited via E-buy with 12 bids received. Virginia Contracting Activity, Virginia, is the contracting activity (HHM402-10-F-0545)."
33378,2010-11-23,"GAN Corp., Huntsville, Ala., was awarded on Nov. 22 a $27,218,120 cost-reimbursement-plus-award-fee contract. This contract is for the test support services for Operational Command Intelligence Electronic Warfare Test Directorate. Work is to be performed in Fort Huachuca, Ariz., with an estimated completion date of May 31, 2015. Bids were solicited on the World Wide Web with four bids received. ATEC Mission Support Contracting Activity, Fort Hood, Texas, is the contracting activity (W9115U-11-C-0001)."
33485,2010-12-03,"Tyson Fresh Meats, Inc., Springdale, Ark., is being awarded an indefinite-delivery, requirements-type contract on Dec. 3 to provide fresh and frozen beef and pork products for resale at two commissary store locations in the Far East (Guam). The estimated award amount is $8,043,021. Contractor will deliver fresh and frozen beef and pork products to the store locations as needed. The contract is for a two-year base period beginning Jan. 9, 2011, through Jan. 5, 2013. Three one-year option periods are available. If all option periods are exercised, the contract will be completed Jan. 2, 2016. Contract funds will not expire at the end of the current fiscal year. Forty firms were solicited and seven offers were received. The contracting activity is the Defense Commissary Agency, Resale Contracting Division, Resale Service Support Branch, Fort Lee, Va., is the contracting activity (HDEC02-11-D-0001)."
36056,2011-09-07,"STG, Reston, Va., was awarded an $11,925,857 cost-plus-fixed-fee contract. The award will provide for the information technology support services required for operational test, data collection, and experimentation mission support. Work will be performed in Aberdeen Proving Ground, Md.; Fort Hood, Texas; and Fort Bragg, N.C., with an estimated completion date of Aug. 31, 2014. Seventeen bids were solicited, with two bids received. The U.S. Army Test and Evaluation Command, Mission Support Contracting Activity, Fort Hood, Texas, is the contracting activity (W91QUZ-06-D-0015)."
36861,2011-10-17,"WareOnEarth Communications, Inc., North Charleston, S.C., was awarded a $12,000,000 cost-plus-fixed-fee and firm-fixed-price indefinite-delivery/indefinite-quantity contract. The award will provide for the modification of an existing contract to provide operations and maintenance services in support of the High Performance Computing Management Program, Defense Research and Engineering Network. Work location will be determined with each task order, with an estimated completion date of March 7, 2014. One bid was solicited, with one bid received. The U.S. Army Test and Evaluation Command, Mission Support Contracting Activity, Ford Hood, Texas, is the contracting activity (W9115U-07-D-0002)."
37603,2012-01-31,"The Boeing Co., Wichita, Kan., is being awarded a $47,862,156 firm-fixed-price, time-and-material cost reimbursable and cost-plus-incentive-fee contract modification which will provide for Option Year III support. The contracting activity is Tinker Air Force Base, Okla. The location of the performance is Wichita, Kan. Work was completed Dec. 21, 2011. OC-ALC/GKSKB, Tinker Air Force Base, Okla., is the contracting activity (FA8106-09-C-0005/P00039)."
38855,2012-06-25,"Science Applications International Corp., McLean, Va., is being issued a modification to a previously awarded five-year indefinite-delivery/indefinite-quantity contract (M67854-09-D-7005) to change the maximum contract value to $500,000,000. This contract is for the product support integrator for the U.S. Marine Corps Counter Radio Controlled Improvised Explosive Device Electronic Warfare (CREW) Program. The work provides program management and maintenance technicians to support the CREW systems used in and outside the continental United States. The contracting activity orders product support integrator services through the award of individual delivery orders based on the terms and conditions in the basic contract. Work will be performed in Charleston, S.C. (16.8 percent), Twentynine Palms, Calif. (5.5 percent), and Afghanistan (77.7 percent), and is expected to be completed Aug. 20, 2014. The contract funds expiration date is dependent on the delivery orders that are issued. The Marine Corps Systems Command, Quantico, Va., is the contracting activity."
39018,2012-07-10,"BAE, Mclean, Va. (HHM402-12-D-0007); Booz Allen Hamilton, Mclean, Va. (HHM402-12-D-0008); Buffalo Group, Reston, Va. (HHM402-12-D-0009); CACI, Chantilly, Va. (HHM402-12-D-0010); CTC, Johnstown, Pa. (HHM402-12-D-0011); Cyberspace Solutions, Reston, Va. (HHM402-12-D-0012); L3, Reston, Va. (HHM402-12-D-0013); Lockheed Martin, Alexandria, Va. (HHM402-12-D-0014); Mission Essential Personnel, Chantilly, Va. (HHM402-12-D-0015); SAIC, Reston, Va. (HHM402-12-D-0016); and Veritiss, Reston, Va. (HHM402-12-D-0017) is being awarded a multiple-award, multi-year, indefinite-delivery/indefinite-quantity contract (Solutions for Intelligence Analysis II) with a potential ceiling of $5,600,000,000 over a five-year period, expected to be completed July 15, 2017. Work will be performed worldwide to provide professional support services to the intelligence analysis mission, war fighters, defense planners, and defense and national security policy makers. The Virginia Contracting Activity is the contracting activity."
39569,2012-08-28,"General Atomics Aeronautical Systems, Inc., Poway, Calif. (FA8620-10-G-3038 0031) is being awarded a $46,504,534 firm fixed price contract modification for ground control stations. The location of performance is General Atomics Aeronautical Systems, Inc., Poway, Calif. Work is to be completed by Feb. 28, 2014. The contracting activity is ASC/WIIK, Wright-Patterson Air Force Base, Ohio is the contracting activity."
40646,2012-10-31,"BAE Systems Information Solutions (McLean, Va.), Battelle Memorial Institute (Columbus, Ohio), Booz Allen & Hamilton (McLean, Va.), Cyberspace Solutions L.L.C. (Reston, Va.), Intrepid Solutions Services Inc. (Falls Church, Va.), Prescient Edge Corp. (Falls Church, Va.), SAIC (McLean, Va.), Six 3 Intelligence Solutions (McLean, Va.), and SRA (Fairfax, Va.) were awarded contracts HHM402-13-D-0002, HHM402-13-D-0010, HHM402-13-D-0003, HHM402-13-D-0004, HHM402-13-D-0005, HHM402-13-D-0006, HHM402-13-D-0007, HHM402-13-D-0008, and HHM402-13-D-0009, respectively on Oct. 26, 2012. The award is a multiple-award, indefinite delivery indefinite quantity contract with a combined maximum ceiling of $750,000,000 over a five-year period ending Nov. 30, 2017. The contract fulfills a full scope of intelligence training requirements, with work to be performed in Washington, DC; Quantico, Va.; Norfolk, Va.; Ft. Huachuca, Ariz.; Ft. Jackson, S.C.; Willow Grove, Pa.; Oak Ridge, Tenn.; West Davis Monthan AFB, Ariz.; and elsewhere as required. The original synopsis was announced on Jan. 9, 2012, and interested parties received a classified briefing and an unclassified Request for Proposal (RFP) on March 27, 2012. The bid period closed on May 2, 2012. 24 proposals were submitted, and nine companies received awards. The contracting activity is the Virginia Contracting Activity."
42028,2013-04-17,"Quantech Services, Inc., Lexington, Mass., is being awarded a $9,525,293 cost-plus-fixed-fee, cost-reimbursable contract for professional acquisition support services. Work will be primarily performed at Hanscom Air Force Base, Mass., but also at Wright-Patterson Air Force Base, Ohio, Maxwell Air Force Base-Gunter Annex, Ala.; Randolph and Lackland Air Force Base, Texas with an expected completion date of Oct. 17, 2013. Fiscal 2013 funds in the amount of $5,609,562 are being obligated at time of award. This contract was a sole-source acquisition. The Air Force Life Cycle Management Center/PZM, Hanscom Air Force Base, Mass., is the contracting activity is the contracting activity (FA8721-13-C-0016)."
42995,2013-08-08,"Woolpert Inc., Dayton, Ohio, was awarded a firm-fixed-price, multi-year contract with a maximum value of $9,485,996 for the development of a camera co-collection system. Work will be performed in Arlington, Va., Centennial, Colo., and Alexandria, Va. Fiscal 2012 research, development, testing and engineering funds are being obligated on this award. The bid was solicited through the Internet, with one bid received. The Army Corps of Engineers, Alexandria, Va., is the contracting activity (W5J9CQ-13-C-0010). Norfolk Dredging Co., Chesapeake, Va., was awarded a firm-fixed-price contract with a maximum value of $8,400,000 for dredging and disposal services along the Delaware River. Work will be performed in Philadelphia, Pa., Salem, N.J., and New Castle, Del. Fiscal 2013 operations and maintenance funds in the amount of $7,500,000 are being obligated on this award. The bid was solicited through the Internet, with two bids received. The Army Corps of Engineers, Philadelphia, Pa., is the contracting activity (W912BU-13-C-0032)."
43172,2013-08-28,"Inland Dredging Co., LLC, Dyersburg, Tenn., was awarded a firm-fixed-price, non-option, non-multi-year contract of $12,747,180 for the dredging of approximately 3,537,000 cubic yards from the federal channel and approximately 80,000 cubic yards from the non-federal channel of the Neches River Channel in Jefferson and Orange Counties, Texas. Performance location will be Port Arthur, Texas with funding from fiscal 2013 Operations and Maintenance Army funds. This contract was a competitive acquisition via the web with six bids received. The U.S. Army Corps of Engineers – Galveston District, Galveston, Texas is the contracting activity (W9126G-13-C-0042). Dynamic Technology Systems, Inc., Alexandria, Va. was awarded an $11,626,692 firm-fixed-price, non-option, non-multi-year contract modification (P0009) of contract (W91WAW-12-C-0018) for program management support for the Army Publishing Directorate, Enterprise Content Management System and associated support services for electronic publishing and automating of Army forms-based business processes. Performance location will be Fort Belvoir, Va., with funding from fiscal 2013 Operations and Maintenance Army funds. This contract was a non-competitive acquisition with one bid solicited and one bid received. The U.S. Army Contracting Command – National Capital Region, Washington, D.C., is the contracting activity"
43322,2013-09-11,"The Whiting-Turner Contracting Co., Greenbelt, Md., is being awarded $38,635,704 for firm-fixed-price task order #0008 under a previously awarded multiple award construction contract (N40085-10-D-5330) for energy efficiency improvements at Marine Corps Base, Camp Lejeune. The work to be performed provides for replacement of a central steam system which will entail the removal of steam equipment at each facility and the installation of high efficiency systems such as natural gas fired hot water appliances, high efficiency heat pumps and hot water equipment to meet heating load requirements. Work will be performed in Jacksonville, N.C., and is expected to be completed by December 2015. Fiscal 2013 operation and maintenance, Marine Corps funds in the amount of $38,635,704 are being obligated on this award and will expire at the end of the current fiscal year. Four proposals were received for this task order. The Naval Facilities Engineering Command, Mid-Atlantic, Norfolk, Va., is the contracting activity. Tutor Perini Corp., Sylmar, Calif., is being awarded $23,813,707 for firm-fixed-price task order #JQ02 under a previously awarded multiple award construction contract (N62742-10-D-1312) for whole house revitalization work at Lockwood Terrace on Naval Base Guam. The work to be performed provides for the upgrade of 60 existing housing units in order to bring them to current Navy standards which include reconfiguration of interior living spaces and expanding existing living areas. Work will be performed in Santa Rita, Guam, and is expected to be completed by September 2015. Fiscal 2009, fiscal 2012, and fiscal 2013 family housing improvements, Navy (military construction) contract funds in the amount of $23,813,707 are being obligated on this award and will not expire at the end of the current fiscal year. Five proposals were received for this task order. The Naval Facilities Engineering Command, Marianas, Guam, is the contracting activity."
43340,2013-09-12,"General Atomics - Aeronautical Systems Inc., Poway, Calif., has been awarded a $12,844,738 cost-plus-fixed-fee contract for the MQ-9 stationary targeting improvements. This contract action is for the development and delivery of an improved targeting capability with the Lynx synthetic aperture radar (SAR) on the MQ-9 platform to allow for a more streamlined approach to targeting and quicker decision making by the crew. This effort also builds a certifiable Lynx SAR community sensor model (CSM) in order to allow for future implementation in the full MQ-9 CSM effort as well as a trade study to identify a format for encoding SAR imagery and moving target indicator data within the MQ-9 architecture that enables a common digital video format. Work will be performed in Poway, Calif., and is expected to be complete by Jan. 13, 2016. This award is the result of a sole source acquisition and one offer was solicited and received. Fiscal 2013 research and development funds in the amount of $4,500,000 are being obligated at time of award. Air Force Life Cycle Management Center/WIIK, Medium Altitude Unmanned Aircraft Systems, Wright-Patterson Air Force Base, Ohio, is the contracting activity. (FA8620-10-G-3038 DO 0054) Lockheed Martin Missiles and Fire Control, Orlando, Fla., has been awarded a not-to-exceed $12,226,992 firm-fixed-price, undefinitized contract award for five sniper advanced targeting pods (ATPs) for the Belgian Air Force. Additionally, the contractor will supply eight 1K forward looking infrareds, four two-way data links, one 1K TV, two pylons, one depot lay-in, 12 retrofit power supplies, and three retrofit 1K TVs along with integration, training, support and program management. Work will be performed in Orlando, Fla., and is expected to be completed Oct. 31, 2015. This award is the result of a source-directed/sole-source acquisition, and is 100 percent foreign military sales. Air Force Life Cycle Management Center/WNKCB, Warner Robins, Ga., is the contracting activity (FA8540-13-C-0025)."
43355,2013-09-12,"Carahsoft Technology Corporation, Reston, Va., was awarded a $12,250,772 firm-fixed-price, option-eligible, multi-year contract modification (P00024) of contract (W91QUZ-11-F-0027) for an end of year requirement to evaluate services rendered in exercise of option evaluated at time of basic award. This modification will be subject to the availability of funds clause of the Federal Acquisition Regulation (FAR) 52.232-18. Performance location is Reston, Va. with incremental funding from fiscal 2014 Operations and Maintenance Army (O&MA) funds. This contract was a non-competitive acquisition with one bid received. The U.S. Army Contracting Command – Rock Island Arsenal, Rock Island, Ill., is the contracting activity. Clinical Research Management*, Hincley, Ohio, was awarded an $11,998,984 cost-plus-fixed-fee, option eligible, non-multi-year contract for development of manufacturing, warehousing and delivery of cryopreserved platelets products to support efforts to obtain U.S. Food and Drug Administration licensure. Performance location will be Hinckley, Ohio, and will come from fiscal 2012 research, development, testing and evaluation funds. This contract was a non-competitive acquisition with one bid solicited and one received. The U.S. Army Medical Research Acquisition Activity - Frederick, Md., is the contracting activity (W81XWH-13-C-0167)."
43364,2013-09-13,"Hardin Construction Co., LLC/Whitesell-Green Inc., Joint Venture, Atlanta, Ga., is being awarded $15,435,000 for firm-fixed-price task order #0002 under a previously awarded multiple award construction contract (N40085-10-D-5333) for design, construction and renovations of Bachelor Quarters at Naval Air Station Oceana. The task order also contains one unexercised option, which if exercised would increase cumulative task order value to $15,773,000. Work will be performed in Virginia Beach, Va., and is expected to be completed by November 2016. Fiscal 2013 operations and maintenance, Navy contract funds in the amount of $15,435,000 are being obligated on this award and will expire at the end of the current fiscal year. Three proposals were received for this task order. The Naval Facilities Engineering Command, Mid-Atlantic, Norfolk, Va., is the contracting activity. Lockheed Martin Space Systems Co., Sunnyvale, Calif., is being awarded a $15,200,000 un-priced letter contract for the long lead material for fiscal 2014 and the labor, planning, and scheduling necessary to support the fiscal 2014 Trident II D5 Missile production schedule. Work will be performed in Sunnyvale, Calif., and work is expected to be completed Sept. 30, 2018. Fiscal 2014 weapons procurement, Navy funds in the amount of $15,200,000 are being obligated at time of award. Contract funds will not expire at the end of the current fiscal year. This contract was a sole source acquisition in accordance with FAR 6.302-1 and 10 U.S.C.2304(c)(1). Strategic Systems Programs, Washington, D.C., is the contracting activity (N00030-13-C-0100)."
43381,2013-09-13,"Jacob&Sundstrom, Inc., Baltimore, Md., was awarded an $8,310,388 option-eligible, non-multi-year contract modification (P00010) of contract (W911QX-12-F-0052) to provide support services for the U.S. Army Research Laboratory (ARL) Computer network Defense Services program, ARL Information Assurance Manager’s office and the ARL Computational and Information Sciences Directorate gent for the Certification Authority. Performance locations will be Adelphi, Md., with funding from fiscal 2014 Research, Development, Testing and Evaluation funds. This contract was a non-competitive acquisition with one bid solicited and one bid received. The U.S. Army Contracting Command – Adelphi Division, Adelphi, Md., is the contracting activity. Northfolk Dredging Company, Chesapeake, Va., was awarded a $7,447,100 firm-fixed-price, non-option eligible, non-multi-year contract for maintenance and associated dredging services for the Military Ocean Terminal and Wilmington Harbor Lilliput Channel, New Hanover and Brunswick counties, N.C. Performance location will be South Port and Wilmington, N.C., with funding from fiscal 2013 Operations and Maintenance Army funds. This contract was a competitive acquisition via the web with two bids received. The U.S. Army Corps of Engineers – Wilmington District, Wilmington, N.C., is the contracting activity (W912PM-13-C-0005)."
43390,2013-09-16,"Ceradyne Inc., Costa Mesa, Calif., has been awarded an estimated $151,200,000 firm-fixed-price modification (P00010) to contract (SPM1C1-11-D-1061) exercising the second option-year period on a one-year base contract with two one-year option periods for enhanced small arm protective inserts. Locations of performance are California and Kentucky, with a July 2015 performance completion date. Using military services are Army, Navy, Air Force, and Marine Corps. Type of appropriation is fiscal 2013 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pa. Science Application International Corp., Fairfield, N.J., has been awarded an estimated $45,000,000 firm-fixed-price, indefinite-delivery/indefinite-quantity modification (P00034) to contract (SPM500-02-D-1021) for maintenance, repair, and operations prime vendor bridge contract for the Southeast Zone 1 region. Location of performance is New Jersey, with a March 31, 2014 performance completion date. Using military services are Army, Navy, Air Force, Marine Corps and federal civilian agencies. Type of appropriation is fiscal 2013 through fiscal 2014 defense working capital funds. The contracting activity is Defense Logistics Agency Troop Support, Philadelphia, Pa."
43437,2013-09-18,"SupplyCore, Inc.,* Rockford, Ill., has been awarded a maximum $45,915,438 firm-fixed-price, indefinite-delivery/indefinite-quantity contract for supply chain management and maintenance support. This is a three year base contract with one two-year option period. This contract was a competitive acquisition and three offers were received. Location of performance is Illinois with a June 5, 2017 performance completion date. Using military services are Navy, Air Force, and federal civilian agencies. Type of appropriation is fiscal year 2014 through fiscal year 2017 Defense Working Capital funds. The contracting activity is the Defense Logistics Agency Aviation, Richmond, Va.; (SPE4AX-13-D-9425). Dentsply Professional, York, Pa., has been awarded a maximum $31,213,855 modification (P00005) exercising the second option-year period of a one-year base contract (SPM2DE-11-D-7456) with four one-year option periods for the distribution of a wide range of general dental supplies. The contract is a fixed-price with an economic-price-adjustment, indefinite-delivery/indefinite-quantity contract. Location of performance is Pennsylvania, with a Sep. 25, 2014 performance completion date. Using military services are Army, Navy, Air Force, and Marine Corps. Type of appropriation is fiscal 2013 through fiscal 2014 defense working capital funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pa."
43449,2013-09-19,"Air Methods Corp., Englewood, Colo., was awarded a $9,299,933 firm-fixed-price, non-option-eligible, non-multi-year contract for 61 Interim Medical Evacuation Mission Support System kits. Performance location will be Englewood, Colo., with funding from fiscal 2013 other procurement authority funds. This contract was a non-competitive acquisition with one bid received. The U.S. Army Contracting Command - Aviation Applied Technology Directorate, Fort Eustis, Va., is the contracting activity (W911W6-13-C-0037). Manson Construction Co., Seattle, Wash., was awarded a $6,934,900 firm-fixed-price, option-eligible, non-multi-year contract for maintenance dredging of Oakland Inner & Outer Harbor Channel of approximately 421,000 cubic yards of materials. Performance location will be Oakland, Calif., with funding from fiscal 2013 operations and maintenance, Army funds. This contract was a competitive acquisition via the web with three bids received. The U.S. Army Corps of Engineers - San Francisco District, San Francisco, Calif., is the contracting activity (W912P7-13-C-0012)."
43529,2013-09-23,"ASRC Civil Construction LLC, Anchorage, Alaska, has been awarded a $10,449,935 modification (P00001) to previously awarded FA5000-12-D-0013 for paving requirements for a broad range of maintenance, repair and paving work. Work will be performed at Joint Base Elmendorf-Richardson, Alaska, with an expected completion date of Sept. 22, 2014. No funds are being obligated at time of award. The 673d Contracting Squadron, Joint Base Elmendorf-Richardson, Alaska, is the contracting activity. Northrop Grumman Systems Corp., San Diego, Calif., was awarded a $7,902,648 delivery order (0001) to firm-fixed-price contract (F8620-13-G-0001) for Global Hawk spares. The contract award is for ground segment communications spares. This contract will provide spares for ground and communications systems to help ensure mission success. Work will be performed at Northrop Grumman Systems Corp., San Diego, Calif., with an expected completion date of October 2015. Fiscal 2011 aircraft procurement funds in the amount of $7,902,648 are being obligated at the time of award. This contract was a sole-source acquisition. The Air Force Life Cycle Management Center, Wright-Patterson Air Force Base, Ohio, is the contracting activity."
43573,2013-09-24,"Johns Hopkins Medical Services Corp., Baltimore Md., was awarded a $338,231,228, fixed-price, commercial contract to provide comprehensive health care services through a managed care plan, the Uniformed Services Family Health Plan, to approximately 41,224 eligible uniformed services’ beneficiaries in their designated geographical area. The services to be provided include: management of provider networks, medical management, enrollment, customer services and other related requirements. The base period runs from Oct. 1, 2013 through Sept. 30, 2014. This contract was not competitively procured pursuant to the authority of 10 U.S.C. 1073, Sections 722 (b & f); 724 (e); 726 (a-d) and the National Defense Authorization Act, Paragraphs 722(b) (1) and (2) of Subtitle C, Fiscal Year 1997, Public Law 104-201. The TRICARE Management Activity, Aurora, Colo., is the contracting activity (HT9402-13-C-0009). Saint Vincents Catholic Medical Centers of New York, N.Y., was awarded a $94,199,599, fixed-price, commercial contract to provide comprehensive health care services through a managed care plan, the Uniformed Services Family Health Plan, to approximately 10,846 eligible uniformed services’ beneficiaries in their designated geographical area. The services to be provided include: management of provider networks, medical management, enrollment, customer services and other related requirements. The base period runs from Oct. 1, 2013 through Sept. 30, 2014. This contract was not competitively procured pursuant to the authority of 10 U.S.C. 1073, Sections 722 (b & f); 724 (e); 726 (a-d) and the National Defense Authorization Act, Paragraphs 722(b) (1) and (2) of Subtitle C, Fiscal Year 1997, Public Law 104-201. The TRICARE Management Activity, Aurora, Colo., is the contracting activity (HT9402-13-C-0010)."
43678,2013-09-26,"CC Distributors, Inc., Corpus Christi, Texas, has been awarded a $22,000,000 firm-fixed-price indefinite delivery/indefinite quantity contract to establish and operate a Contractor Operated Civil Engineer Supply Store (COCESS). The COCESS will provide a simplified method for authorized personnel to purchase quality material, tools and equipment used for work orders, construction, facility maintenance and repair, maintenance and repair, lawn and garden equipment repair and self-help type work. Work will be performed at Nellis Air Force Base (AFB), Nev., and has a final completion date of March 26, 2019. This requirement was solicited competitively through the Federal Business Opportunities web page and six offers were received. Fiscal 2013 operations and maintenance funds in the amount of $200,000 are being obligated at time of award. The 99th Contracting Squadron/LGCB, Nellis AFB, Nev., is the contracting activity. (FA4861-13-D-B006) Northrop Grumman Corp., Electronic Systems Intelligence Surveillance, Azusa, Calif., has been awarded a $12,081,052 contract for the Australian Mission Processor Phase 3 (AMP 3). The contractor will design, develop, procure, test, install, and integrate the AMP 3 system, which will be capable of processing both Defense Support Program and Space Based Infrared Systems geosynchronous satellite infrared data. The contractor will also provide three years of ongoing contractor logistics support. Work will be performed in Azusa, Calif., and is expected to be complete by March 2018. This award is the result of a sole source acquisition. This contract action relates to 100 percent unclassified foreign military sales to the Government of Australia. Space and Missile Systems Center, Infrared Space Systems Contracts Division, Los Angeles AFB, Calif., is the contracting activity. (FA8810-13-C-0005)"
43815,2013-09-27,"L-3 Fuzing & Ordnance System, Inc., Cincinnati, Ohio, was awarded a $31,391,055 non-multi-year, no-option, firm-fixed-price contract in which the requirement is for FUM-153 A/B Point Detonating/Delay fuses. Funding and performance location will be determined with each order. The contract was solicited via the Web with one bid received. The U.S. Army Contracting Command - Picatinny Arsenal, Picatinny Arsenal, N.J., is the contracting activity (W15QKN-13-D-0089). Technology and Supply Management,* Fairfax, Va., was awarded a $29,429,017 multi-year, no-option, firm-fixed-price contract for one story and two story energy efficient shelters to be delivered and assembled at Camp Buehring, Kuwait. Funding and performance location will be determined with each order. The contract was solicited via the Web with 12 bids received. The U.S. Army Contracting Command – Picatinny Arsenal, Picatinny, N.J. is the contracting activity (W15WKN-13-D-0113)."
43825,2013-09-27,"NIITEK, Dulles, Va., was awarded a $10,639,710 non-multi-year, no-option, firm-fixed-price contract for procurement of six Husky Mounted Detection System ground penetrating radar test units and a test support package including spare parts, technical data, an interface control document, logistics data, and test support services. The Husky Mounted Detection System is a counter-Improvised Explosive Device (IED) system with the capabilities to detect IEDs and antitank landmines. Funding is from fiscal year 2012 research, development, test and evaluation appropriation. Performance location is Dulles, Va. For this contract one bid was solicited and one bid received. The U.S. Army Contracting Command – Washington Operations, Alexandria, Va., is the contracting activity (W909MY-13-C-0038). URS Federal Services, Inc., Germantown, Md., was awarded a $10,628,212 non-multi-year, cost-plus-fixed-fee modification contract (P00023) with options. The modification is for the continuation of base year performance and the exercising of option period one for maintenance support of the Department of State and Office of Security Cooperation-Iraq “Green” equipment. Funding is from fiscal year 2013 operation and maintenance Army appropriation. Performance location is Iraq. For this contract there was one solicitation and one bid received. The U.S. Army Contracting Command – Rock Island Arsenal, Rock Island, Ill., is the contracting activity (W52P1J-12-C-0081)."
43827,2013-09-27,"Henderson Consulting, LLC, New Orleans, La., was awarded a $ 10,492,333 non-multi-year, firm-fixed-price, no-option contract for Mississippi River and tributaries, and Jefferson Heights levee enlargement. Funding is from fiscal year 2013 'Other' appropriation. The performance location is New Orleans, La. The contract was solicited via the Web with four bids received. The U.S. Army Corps of Engineers - New Orleans District, New Orleans, La., is the contracting activity (W912P8-13-C-0056). Damosvision,* Newport, R.I., was awarded a $10,000,000 non-multi-year, no-option, firm-fixed-price contract for monitoring of the historic area remediation site and New York Bight. Funding and performance location are to be determined with each order. The contract was solicited via the Web with four bids received. The U.S. Army Corps of Engineers – New York District, New York, N.Y., is the contracting activity (W912DS-13-D-0007)."
43840,2013-09-27,"Lockheed Martin Space Systems Co., Sunnyvale, Calif., was awarded a $96,287,882 modification (P00011) on a previously existing contract (FA8810-13-C-0002) for Space Based Infrared Systems contractor logistics support. The contract provides for operations crew support and organizational and depot maintenance. Work will be performed at Boulder, Colo. and Buckley Air Force Base Colo., and is expected to be completed on Sept. 30, 2014. No funds are being obligated at time of award. Infrared Space Systems Contracts Division, Space and Missile Systems Center, Los Angeles AFB, Calif., is the contracting activity. AOC Environmental, Inc., Wichita Falls, Texas (FA3020-13-D-0009); C-3, LLC, Broken Arrow, Okla. (FA3020-13-D-0010); Gideon Contracting, LLC, San Antonio, Texas (FA3020-13-D-0011); HCR Construction, LLC, San Antonio, Texas (FA3020-13-D-0012); NAE/Imperial Joint Venture 2, Weatherford, Texas (FA3020-13-D-0013); Unified Services of Texas, Inc., Southlake, Texas (FA3020-13-D-0014) have each been awarded a $90 million multiple award construction contract (MACC). The MACC will increase the level of design flexibility, reduce time to award construction contracts, ensure fair pricing based on competition, and aid in meeting the squadron's small business goals. Work will be performed at Sheppard Air Force Base (AFB), Altus AFB, Frederick Airfield, and the Sheppard AFB Texoma Annex, Texas, and is expected to be completed September 2018. Fiscal 2013 operations and maintenance funds in the amount of $1,500 are being obligated on each contract at time of award. The 82nd Contracting Squadron, Sheppard AFB, Texas, is the contracting activity."
43841,2013-09-27,"L-3 Communications Systems, East Camden, N.J., has been awarded a maximum $63,404,093 firm-fixed-price, indefinite-delivery/indefinite-quantity contract for Advanced Extremely High Frequency COMSEC TRANSEC SYSTEM hardware production. Work will be performed at Camden, N.J., and is expected to be complete by Dec. 31, 2018. This award is a result of a sole-source acquisition. Fiscal 2012 other procurement and Fiscal 2013 other procurement funds in the amount of $10,972,872 are being obligated at time of award. Air Force Life Cycle Management Center, Cryptologic and Cyber Systems Contracting Division/HNCK, San Antonio Texas, is the contracting activity. (FA8307-13-D-0010) Lockheed Martin Mission Systems and Training (formerly Global Training and Logistics), Orlando, Fla., has been awarded a $29,361,640 modification (P00101) under an existing contract (FA8621-06-C-6300) for the fiscal 2014 C-130J aircrew instruction and contractor logistic support for the C-130J Maintenance and Aircrew Training System devices. Work will be performed at Little Rock Air Force Base (AFB), Ark., Keesler AFB, Miss., Dyess AFB, Texas, and Ramstein Air Base, Germany, and will be completed on Sept. 30, 2014. No funds are being obligated at time of award. Air Force Life Cycle Management Center/WNS, Wright-Patterson AFB, Ohio, is the contracting activity."
